tour_food,tour_food_theme,tour_food_tag,tour_food_score,like,zzim,review
노라바,제주시 > 애월,#음식 #도시락 #문어숙회 #라면 #문어라면,5,0,66,7
독개물항,제주시 > 한림,#보말물회 #음식 #갈치조림 #제주갈치조림 #갈치구이 #제주갈치구이 #성게미역국 #전복죽 #보말죽 #전복뚝배기 #2022고메페스타 #무장애관광,5,2,80,7
레드팬더,제주시 > 제주시내,#음식 #고기짬뽕 #짜장면 #사천탕수육 #볶음밥 #탕수육 #잡채밥 #간짜장 #해물짜장 #사천간짜장 #삼선간짜장 #삼선짜장 #쟁반짜장 #해물쟁반짜장 #고추짬뽕 #삼선짬뽕 #나가사키짬뽕 #홍합짬뽕 #우동 #삼선우동 #울면 #삼선울면 #쟁반짬뽕 #해물쟁반짬뽕 #짜장밥 #짬뽕밥 #오므라이스 #마파두부밥 #고추잡채밥 #삼선볶음밥 #삼선짬뽕밥 #고추짬뽕밥 #제육덮밥 #유산슬밥 #잡탕밥 #깐풍육 #깐풍기 #양장피 #고추잡채 #칠리새우 #깐쇼새우 #깐풍새우 #칠리탕수육 #마파두부 #삼선누룽지탕 #유산슬 #팔보채,5,6,8,7
마마롱(애월),제주시 > 애월,#에끌레어 #음식 #빵 #아메리카노 #에이드 #에스프레소 #2022고메페스타 #베이커리 #케이크 #티라미수 #카페라떼 #카푸치노 #바닐라라떼 #라떼 #차 #카모마일 #페퍼민트 #장미차 #허브티 #녹차 #얼그레이 #말차라떼 #미숫가루라떼 #초코라떼 #청포도에이드,5,0,31,7
만덕이네,서귀포시 > 표선,#접짝뼈국 #음식 #제주갈치조림 #갈치구이 #제주갈치구이 #고등어구이 #고등어 #옥돔구이 #흑돼지두루치기 #전복 #문어 #고등어조림 #전복뚝배기 #뚝배기 #성게미역국 #몸국 #흑돼지구이,4,1,127,7
만선식당,서귀포시 > 대정,#한치회 #음식 #한치 #고등어 #고등어구이 #갈치조림 #회 #생선구이,5,0,50,7
망고홀릭 제주본점,제주시 > 제주시내,#신선로코코넛빙수 #망고홀릭디저트 #음식 #망고빙수 #망고스무디 #망고에이드 #망고주스 #망고요거트 #애플망고스무디 #팥빙수 #눈꽃빙수 #아메리카노 #에스프레소 #카페모카 #카페라떼 #카푸치노 #카라멜라떼 #바닐라라떼 #아인슈페너 #연유라떼 #라떼 #차 #레몬차 #자몽차 #모과차 #유자차 #에이드 #레몬에이드 #자몽에이드,5,3,27,7
북촌에가면,제주시 > 조천,#정원 #음식 #청귤차 #카페라떼 #아메리카노 #녹차라떼 #아포가토 #라떼 #그린티라떼 #차 #허브티 #에이드 #패션후르츠에이드 #딸기라떼 #카푸치노 #바닐라라떼 #헤이즐넛라떼 #카라멜마끼아또 #카페모카 #아인슈페너,5,3,43,7
스시호시카이,제주시 > 제주시내,#회 #초밥 #음식 #2022고메페스타,5,1,35,7
신설오름,제주시 > 제주시내,#한치물회 #음식 #고등어구이 #고기국수 #소라물회 #물회 #소라 #한치 #국수 #산낙지 #해삼물회 #전복물회 #회 #해삼회 #소라회 #전복회,4,0,48,7
